Semester;Code;Studiengang;männlich;weiblich;Insgesamt
WS 2011/12;SF117;Ausländerpädagogik;3;16;19
WS 2011/12;SF015;Außereurop. Sprachen und Kult. in Ozeanien und Am.;21;24;45
WS 2011/12;SF259;Auswärtige Angelegenheiten;11;10;21
WS 2011/12;SF016;Baltistik;3;4;7
WS 2011/12;SF265;Bankwesen;42;39;81
WS 2011/12;SF017;Bauingenieurwesen/Ingenieurbau;8292;2833;11125
WS 2011/12;SF020;Bergbau/Bergtechnik;310;58;368
WS 2011/12;SF018;Berufsbezogene Fremdsprachenausbildung;112;348;460
WS 2011/12;SF270;Berufs- und Wirtschaftspädagogik;108;101;209
WS 2011/12;SF021;Betriebswirtschaftslehre;20760;20419;41179
WS 2011/12;SF262;Bibliothekswesen;-;1;1
WS 2011/12;SF022;Bibliothekswiss., -wesen (nicht an Verw.-FH);83;391;474
WS 2011/12;SF023;Bildende Kunst/Grafik;225;307;532
WS 2011/12;SF205;Bildhauerei/Plastik;35;33;68
WS 2011/12;SF025;Biochemie;645;744;1389
WS 2011/12;SF283;Biogeographie (ab 2012 ohne SF385);116;182;298
WS 2011/12;SF221;Bioinformatik;263;150;413
WS 2011/12;SF026;Biologie;3063;5411;8474
WS 2011/12;SF300;Biomedizin;100;142;242
WS 2011/12;SF282;Biotechnologie;1142;1209;2351
WS 2011/12;SF027;Blinden-/Sehbehindertenpädagogik(ab 2016 zu SF190);-;-;-
WS 2011/12;SF028;Brauwesen/Getränketechnologie;176;28;204
WS 2011/12;SF260;Bundeswehrverwaltung;9;22;31
WS 2011/12;SF031;Byzantinistik;3;3;6
WS 2011/12;SF162;Caritaswissenschaft;1;3;4
WS 2011/12;SF032;Chemie;4966;3127;8093
WS 2011/12;SF033;Chemie-Ingenieurwesen/Chemietechnik;1419;685;2104
WS 2011/12;SF160;Computerlinguistik;98;89;187
WS 2011/12;SF200;Computer- und Kommunikationstechniken;402;226;628
WS 2011/12;SF034;Dänisch;3;11;14
WS 2011/12;SF035;Darstellende Kunst/Bühnenkunst/Regie;83;195;278
WS 2011/12;SF271;Deutsch als Fremdsprache oder als Zweitsprache;111;442;553
WS 2011/12;SF161;Diakoniewissenschaft;11;15;26
WS 2011/12;SF192;Dirigieren;21;6;27
WS 2011/12;SF037;Dokumentationswissenschaft;30;51;81
WS 2011/12;SF231;Druck- und Reproduktionstechnik;249;200;449
WS 2011/12;SF159;Edelstein- und Schmuckdesign;3;19;22
WS 2011/12;SF316;Elektronische Energietechnik;474;55;529
WS 2011/12;SF048;Elektrotechnik/Elektronik;12690;1357;14047
WS 2011/12;SF211;Energietechnik (ohne Elektrotechnik);1783;337;2120
WS 2011/12;SF320;Ernährungswissenschaft;69;380;449
WS 2011/12;SF321;Erwachsenenbildung und außerschulische Jugendbild.;24;86;110
WS 2011/12;SF051;Erziehungsschwierigenpädagogik (ab 2016 zu SF190);19;99;118
WS 2011/12;SF052;Erziehungswissenschaft (Pädagogik);2121;8079;10200
WS 2011/12;SF169;Ethik;18;35;53
WS 2011/12;SF173;Ethnologie;189;577;766
WS 2011/12;SF024;Europäische Ethnologie und Kulturwissenschaft;133;498;631
WS 2011/12;SF167;Europäische Wirtschaft;209;302;511
WS 2011/12;SF544;Ev. Religionspädagogik, kirchliche Bildungsarbeit;42;118;160
